Lines added,Lines removed,File name,Repository name
470,235,jsoncpp-src-0.5.0/SConstruct,AIC16-Client-Cpp
2,0,CC/leetcode/3sum/SConstruct,algothink
2,0,CC/leetcode/2sum/SConstruct,algothink
2,0,CC/poj/2136/SConstruct,algothink
2,0,CC/poj/2140/SConstruct,algothink
2,0,CC/uva/10038/SConstruct,algothink
2,0,CC/spoj/SConstruct,algothink
2,0,CC/spoj/AMR11E/SConstruct,algothink
171,0,trash/library/src/main/jni/tiff-3.9.5/SConstruct,androidCamera
73,0,trash/library/src/main/jni/tiff-3.9.5/libtiff/SConstruct,androidCamera
146,0,tests/SConstruct,android_external_nanopb-c
42,0,tools/oom_dump/SConstruct,android_external_v8
340,169,src/3rdparty/libtiff/SConstruct,android-qt
144,71,src/3rdparty/libtiff/libtiff/SConstruct,android-qt
81,0,SConstruct,android_vendor_amlogic_external_exfat-fuse
248,0,app/jsoncpp/SConstruct,app
235,0,c++/jsoncpp/SConstruct,barracuda-2014
42,0,deps/v8/tools/oom_dump/SConstruct,bastian
366,0,betakore/trunk/SConstruct,betakore
366,0,betakore/tags/milestone1/SConstruct,betakore
471,0,contrib/serf/SConstruct,bhyve-save-restore
53,22,SConstruct,BigData
8003,6696,SConstruct,blender
5,0,object_destruction/libvoro/SConstruct,Blender-Destructability-Editor
266,0,gameserver/lib/websocketpp/SConstruct,blockescape
101,0,libs/python/SConstruct,boost
248,0,Release/libs/websocketpp/SConstruct,casablanca
69,46,external/emscripten/demos/scons-embind/SConstruct,chicken
15,10,external/emscripten/tests/scons/SConstruct,chicken
248,0,src/third_party/jsoncpp/source/SConstruct,chrosnap
3860,0,src/native_client/SConstruct,chrosnap
11,2,c_src/SConstruct,cmoon
1,0,cpp/test_thread_local/SConstruct,CodeSample
1,0,cpp/test_time/SConstruct,CodeSample
280,0,cpp/lib_console_hot_key/SConstruct,CodeSample
1,0,alg/阶乘/SConstruct,CodeSample
1,0,alg/任意时刻时钟角度/SConstruct,CodeSample
1,0,alg/将单词按照指定字母顺序排序/SConstruct,CodeSample
1,0,alg/排序搜索算法/SConstruct,CodeSample
1,0,alg/表达式求值问题/SConstruct,CodeSample
1,0,lib/libUPnP/Neptune/SConstruct,ComixTV
1,0,lib/libUPnP/Platinum/SConstruct,ComixTV
6,0,SConstruct,cpp___detect_processors
4,0,SConstruct,cSocketDemo
155,0,node_modules/google-cloud/node_modules/grpc/third_party/nanopb/tests/SConstruct,DailyChallenge10-DocumentChooser
87,0,contrib/C++/id3lib/SConstruct,Eiffel-Loop
69,0,contrib/C/Cairo-1.12.16/SConstruct,Eiffel-Loop
48,6,contrib/C/MSC-runtime/SConstruct,Eiffel-Loop
28,0,contrib/Java/batik-1.7/SConstruct,Eiffel-Loop
27,0,C_library/gtk-init/SConstruct,Eiffel-Loop
32,0,C_library/bit-utils/SConstruct,Eiffel-Loop
37,0,C_library/network-adapter/SConstruct,Eiffel-Loop
43,3,C_library/cURL/SConstruct,Eiffel-Loop
54,0,C_library/vtd2eiffel/SConstruct,Eiffel-Loop
70,0,C_library/image-utils/SConstruct,Eiffel-Loop
1,0,example/graphical/SConstruct,Eiffel-Loop
1,0,example/99-bottles/SConstruct,Eiffel-Loop
1,0,example/net/EROS/signal-math/SConstruct,Eiffel-Loop
1,0,example/net/EROS/server/SConstruct,Eiffel-Loop
1,0,example/manage-mp3/SConstruct,Eiffel-Loop
1,0,example/eiffel2java/SConstruct,Eiffel-Loop
1,0,test/SConstruct,Eiffel-Loop
2,1,tool/toolkit/SConstruct,Eiffel-Loop
1,0,tool/eiffel/SConstruct,Eiffel-Loop
